Key:
+,"Pro-environment vote"
-,"Anti-environment vote"
?,"Missed vote"
n/a,"Not applicable"
" "
District,Party,"Member of Congress","2019 Score","Lifetime Score","Stopping Border Wall Funding (9)","Public Lands Package (95)","Protecting Our Democracy (118)","For the People Act (118)","Recognizing the Need for Climate Justice (175)","Addressing Climate Change’s Damages (181)","Climate Action Now Act (184)","Keeping America’s Commitment to the Paris Climate Agreement (184)","Protecting Dreamers and Immigrants Fleeing Disasters (240)","Halting Withdrawal from the Paris Climate Agreement (336)","Ignoring the Costs of Climate Change (362)","Blocking the Use of the Social Cost of Carbon in Agency Rules (362)","Halting Permitting of Pebble Mine in Alaska (363)","Blocking the Disastrous Pebble Mine (363)","Boosting Clean Energy and Climate Funding (367)","FY20 Energy, Water, and other Departments Funding Bill (367)","Blocking Protections for Endangered Whales (372)","Halting Oil and Gas Drilling off Florida’s Coasts (378)","Banning Oil and Gas Drilling off the Atlantic Coast (379)","Blocking Import Permits for Sport-Hunted Elephant and Lion Parts (380)","Stopping Carbon Pollution Limits for Power Plants (381)","Stopping the Clean Power Plan and Carbon Pollution Limits for New Power Plants (381)","Blocking Taxpayer-Subsidized Roadbuilding for Industrial Logging in the Tongass National Forest (382)","Blocking Logging in the Tongass National Forest (382)","Blocking EPA from Carrying Out Endangerment Finding for CO2 (383)","Blocking the EPA from Reducing Carbon Pollution (383)","Halting Oil Drilling in the Arctic Refuge (384)","Blocking EPA Enforcement of Methane Rules (385)","Methane Pollution Safeguards (385)","Eliminating EPA’s Chemical Hazard Assessment Program, IRIS (390)","Eliminating EPA's Chemical Hazard Assessment Program, IRIS (390)","Stopping Oil and Gas Exploration off the Atlantic Coast (391)","Banning Oil and Gas Exploration off the Pacific Coast (393)","Preserving the Mercury & Air Toxics Standards (395)","Halting the Trump Administration from Undermining the Mercury and Air Toxics Standards (395)","Pro-Environment Funding Bill (408)","FY20 Interior, Environment and related Agencies Funding Bill (408)","Ending Harmful Limits on Government Funding (511)","Permanently Extending the Moratorium on Drilling in the Eastern Gulf of Mexico (521)","Stopping Future Drilling in the Eastern Gulf of Mexico (521)","Banning Offshore Drilling in the Atlantic and Pacific Oceans (525)","Restoring Protections for the Arctic Refuge (530)","Protecting Chaco Canyon from Oil and Gas Development   (597)","Protecting Chaco Canyon from Oil and Gas Development (597)","Protecting the Grand Canyon from Toxic Uranium Mining (602)","Protecting Colorado's Public Lands (609)","Shark Finning Ban (634)","Protecting the Right to Vote (654)","Attack on Marine Mammal Protections from Harmful Air Gun Blasting (666)","USMCA Trade Deal (701)"
CA-01,R,"LaMalfa, Doug",7,2,,-,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,+,-,-,-
CA-02,D,"Huffman, Jared",100,98,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,+
CA-03,D,"Garamendi, John",97,90,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,-,+,,,+,,+,+,,+,,+,-,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CA-04,R,"McClintock, Tom",3,4,,+,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
CA-05,D,"Thompson, Mike",90,93,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,?,?,+,+,+,+,-
CA-06,D,"Matsui, Doris",97,96,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CA-07,D,"Bera, Ami",97,93,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CA-08,R,"Cook, Paul",14,4,,+,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,+,,-,,,,+,+,-,+,-,-,-
CA-09,D,"McNerney, Jerry",97,94,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CA-10,D,"Harder, Josh",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,-,,+,,,,+,+,+,+,+,+,-
CA-11,D,"DeSaulnier, Mark",100,99,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,+
CA-12,D,"Pelosi, Nancy",80,94,,n/a,+,+,n/a,n/a,,+,+,n/a,n/a,,,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,,,n/a,,n/a,n/a,,n/a,,n/a,n/a,n/a,n/a,,n/a,,+,,n/a,,,,n/a,n/a,n/a,n/a,+,n/a,-
CA-13,D,"Lee, Barbara",100,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,+
CA-14,D,"Speier, Jackie",93,91,,+,+,+,+,?,,+,+,+,+,,,+,+,,+,+,+,?,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CA-15,D,"Swalwell, Eric",62,91,,+,+,+,+,+,,+,?,+,+,,,+,+,,?,?,?,?,?,,,?,,?,?,,?,,?,?,?,?,,?,,+,,+,,,,+,+,+,+,+,+,-
CA-16,D,"Costa, Jim",79,51,,+,+,+,+,+,,+,+,+,+,,,-,+,,+,+,+,+,+,,,-,,+,-,,-,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CA-17,D,"Khanna, Ro",97,98,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CA-18,D,"Eshoo, Anna",93,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,?,+,+,+,-
CA-19,D,"Lofgren, Zoe",93,92,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,?,+,+,+,-
CA-20,D,"Panetta, Jimmy",97,96,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CA-21,D,"Cox, TJ",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CA-22,R,"Nunes, Devin",0,3,,-,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,+,,-,,,,-,-,-,-,-,-,-
CA-23,R,"McCarthy, Kevin",3,3,,-,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,+,,-,,,,-,-,-,+,-,-,-
CA-24,D,"Carbajal, Salud",97,93,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CA-25,D,"Hill, Katie",92,92,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,?,?,+,,,,
CA-26,D,"Brownley, Julia",97,96,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CA-27,D,"Chu, Judy",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CA-28,D,"Schiff, Adam",97,98,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CA-29,D,"Cárdenas, Tony",100,86,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,+
CA-30,D,"Sherman, Brad",93,97,,+,+,+,+,+,,+,?,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CA-31,D,"Aguilar, Pete",93,96,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,?,+,+,+,-
CA-32,D,"Napolitano, Grace",97,90,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,-,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CA-33,D,"Lieu, Ted",93,91,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,-,+,?,+
