Key:
+,"Pro-environment vote"
-,"Anti-environment vote"
?,"Missed vote"
n/a,"Not applicable"
" "
State,Party,"Member of Congress","2019 Score","Lifetime Score","Stopping Border Wall Funding (10)","Diverting Land & Water Conservation Fund Money (18)","Blocking Permanent Land & Water Conservation Fund Reauthorization (19)","Blocking Permanent Reauthorization of the Land & Water Conservation Fund (19)","Undermining the Antiquities Act (20)","Public Lands Package (22)","Miller Confirmation (Ninth Circuit Court of Appeals) (29)","Wheeler Confirmation (EPA Administrator) (33)","Rao Confirmation (D.C. Circuit Court of Appeals) (44)","Wyrick Confirmation (U.S. District Court for the Western District of Oklahoma) (68)","Wyrick Confirmation (District Court for Western District of Oklahoma) (68)","Bernhardt Confirmation (Interior Secretary) (77)","Ending Harmful Limits on Government Funding (262)","Jorjani Confirmation (DOI Solicitor) (300)","Scalia Confirmation (Secretary of Labor) (313)","Stopping Rollbacks of Carbon Pollution Limits for Power Plants (324)","Stopping the Dirty Power Scam (324)","Undermining the Land and Water Conservation Fund (339)","Menashi Confirmation (Second Circuit Court of Appeals) (356)","VanDyke Confirmation (Ninth Circuit Court of Appeals) (391)","VanDyke confirmation (Ninth Circuit Court of Appeals) (391)"
CA,D,"Harris, Kamala",71,91,+,+,+,+,+,+,+,+,+,+,+,?,?,?,+,?,?,?,?,+,+
CA,D,"Feinstein, Dianne",100,90,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY,D,"Gillibrand, Kirsten",93,95,+,+,+,+,?,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY,D,"Schumer, Chuck",100,92,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
FL,R,"Rubio, Marco",7,5,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FL,R,"Scott, Rick",7,7,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AL,R,"Shelby, Richard",29,13,-,+,+,+,+,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-
AL,D,"Jones, Doug",86,82,+,+,+,+,+,+,+,+,+,+,+,+,+,?,+,-,-,+,?,+,+
HI,D,"Hirono, Mazie",100,95,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
HI,D,"Schatz, Brian",100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MO,R,"Hawley, Joshua",7,7,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MO,R,"Blunt, Roy",21,6,-,+,+,+,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-
TN,R,"Blackburn, Marsha",21,3,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-
TN,R,"Alexander, Lamar",36,21,+,+,+,+,+,+,-,-,-,-,-,-,+,-,-,?,?,+,-,-,-
LA,R,"Cassidy, Bill",7,7,-,-,?,?,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LA,R,"Kennedy, John",7,4,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PA,R,"Toomey, Pat",0,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PA,D,"Casey, Bob",100,93,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MI,D,"Stabenow, Debbie",100,89,+,+,+,+,,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MI,D,"Peters, Gary",100,93,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NV,D,"Rosen, Jacky",100,96,,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NV,D,"Cortez Masto, Catherine",100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NJ,D,"Booker, Cory",50,91,+,?,?,?,+,+,+,+,+,+,+,?,?,?,?,?,?,?,?,?,?
NJ,D,"Menendez, Robert",100,95,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
OH,R,"Portman, Rob",29,20,-,-,+,+,+,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-
OH,D,"Brown, Sherrod",100,94,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NH,D,"Shaheen, Jeanne",100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NH,D,"Hassan, Margaret",100,100,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MN,D,"Klobuchar, Amy",79,94,+,+,+,+,?,+,+,+,+,+,+,+,-,+,+,?,?,?,?,+,+
MN,D,"Smith, Tina",100,100,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
WI,D,"Baldwin, Tammy",100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
WI,R,"Johnson, Ron",0,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AZ,D,"Sinema, Kyrsten",71,77,+,+,+,+,+,+,?,?,+,+,+,-,+,+,+,-,-,+,+,+,+
