Key:
+,"Pro-environment vote"
-,"Anti-environment vote"
?,"Missed vote"
n/a,"Not applicable"
" "
District,Party,"Member of Congress",BioID,GovtrackID,"2020 Score","Lifetime Score","Closing the PFAS Clean Water Loophole (11)","Protecting People from PFAS Pollution (13)","Great Lakes Restoration Initiative (36)","Protecting the Rights of Workers to Organize (50)","Emergency and Climate Disaster Aid for Puerto Rico (54)","Protecting Wilderness Across the West  (69)","Heroes Act COVID-19 Relief Package (109)","Washington D.C. Statehood (122)","Harming Workers by Rolling Back Wage Protections (135)","Eliminating Lead Service Lines to Protect Public Health (136)","Investing in Climate-Ambitious Infrastructure (138)","Maintaining Suspension of Nuclear Weapons Testing (142)","Protecting the Grand Canyon and Colorado’s public lands (147)","Great American Outdoors Act (155)","Removing Confederate Statues from the U.S. Capitol (156)","Blocking Trump’s Inadequate Soot Standard (163)","Slashing EPA Funding (164)","Pro-Environment Funding Package  (166)","Protecting the U.S. Postal Service (182)","Increasing Funding for Renewable Energy Research & Development (203)","Phasing Out Harmful Fishing Gear (242)"
CA-01,R,"LaMalfa, Doug",L000578,412510,5,2,-,-,-,-,?,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
CA-02,D,"Huffman, Jared",H001068,412511,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-03,D,"Garamendi, John",G000559,412382,100,91,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-04,R,"McClintock, Tom",M001177,412295,0,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CA-05,D,"Thompson, Mike",T000460,400403,100,93,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-06,D,"Matsui, Doris",M001163,400663,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-07,D,"Bera, Ami",B001287,412512,100,94,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-08,R,"Cook, Paul",C001094,412513,15,5,-,+,+,-,-,-,-,-,+,-,-,-,-,?,?,-,-,-,?,-,
CA-09,D,"McNerney, Jerry",M001166,412189,100,95,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-10,D,"Harder, Josh",H001090,412754,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
