Key:
+,"Pro-environment vote"
-,"Anti-environment vote"
?,"Missed vote"
n/a,"Not applicable"
" "
State,Party,"Member of Congress",BioID,GovtrackID,"2020 Score","Lifetime Score","USMCA Trade Deal (14)","Brasher Confirmation (Eleventh Circuit Court of Appeals) (36)","Kindred Confirmation (U.S. District Court for the District of Alaska) (41)","MacGregor Confirmation (Interior Deputy Secretary)  (60)","Danly Confirmation (Federal Energy Regulatory Commission) (72)","Defeating Effort to Derail the Great American Outdoors Act (118)","Great American Outdoors Act (121)","Walker Confirmation (D.C. Circuit Court of Appeals) (123)","Wilson Confirmation (Fifth Circuit Court of Appeals) (125)","Inadequate Policing Reform  (126)","Inadequate COVID Relief Package (168)","Barrett Cloture Vote (Supreme Court) (222)","Barrett Confirmation (Supreme Court) (224)"
CA,D,"Feinstein, Dianne",F000062,300043,92,90,-,+,+,+,+,+,+,+,+,+,+,+,+
CA,D,"Harris, Kamala",H001075,412678,85,90,+,+,+,+,+,+,+,+,+,+,?,?,+
NY,D,"Gillibrand, Kirsten",G000555,412223,100,95,+,+,+,+,+,+,+,+,+,+,+,+,+
NY,D,"Schumer, Chuck",S000148,300087,100,92,+,+,+,+,+,+,+,+,+,+,+,+,+
FL,R,"Scott, Rick",S001217,412838,0,4,-,-,-,-,?,-,-,-,-,-,-,-,-
FL,R,"Rubio, Marco",R000595,412491,15,6,-,-,-,-,-,+,+,-,-,-,-,-,-
AL,R,"Shelby, Richard",S000320,300089,0,13,-,-,-,-,-,-,-,-,-,-,-,-,-
AL,D,"Jones, Doug",J000300,412741,69,78,-,+,+,?,-,+,+,+,+,-,+,+,+
HI,D,"Hirono, Mazie",H001042,412200,92,95,-,+,+,+,+,+,+,+,+,+,+,+,+
HI,D,"Schatz, Brian",S001194,412507,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+
MO,R,"Hawley, Joshua",H001089,412840,0,4,-,-,-,-,-,-,-,-,-,-,-,-,-
MO,R,"Blunt, Roy",B000575,400034,15,6,-,-,-,-,-,+,+,-,-,-,-,-,-
TN,R,"Blackburn, Marsha",B001243,400032,0,3,-,-,-,-,-,-,-,-,-,-,-,-,-
TN,R,"Alexander, Lamar",A000360,300002,15,20,-,-,-,-,-,+,+,-,-,-,-,-,-
LA,R,"Cassidy, Bill",C001075,412269,0,7,-,-,-,-,-,-,-,-,-,-,-,-,-
LA,R,"Kennedy, John",K000393,412679,0,3,-,-,-,-,-,-,-,-,-,-,-,-,-
PA,D,"Casey, Bob",C001070,412246,92,93,-,+,+,+,+,+,+,+,+,+,+,+,+
PA,R,"Toomey, Pat",T000461,400408,8,5,+,-,-,-,-,-,-,-,-,-,-,-,-
MI,D,"Stabenow, Debbie",S000770,300093,92,90,-,+,+,+,+,+,+,+,+,+,+,+,+
MI,D,"Peters, Gary",P000595,412305,92,93,-,+,+,+,+,+,+,+,+,+,+,+,+
NV,D,"Rosen, Jacky",R000608,412715,92,96,-,+,+,+,+,+,+,n/a,+,+,+,+,+
NV,D,"Cortez Masto, Catherine",C001113,412681,92,95,-,+,+,+,+,+,+,+,+,+,+,+,+
NJ,D,"Menendez, Robert",M000639,400272,92,95,-,+,+,+,+,+,+,+,+,+,+,+,+
NJ,D,"Booker, Cory",B001288,412598,100,93,+,+,+,+,+,+,+,+,+,+,+,+,+
OH,R,"Portman, Rob",P000449,400325,15,19,-,-,-,-,-,+,+,-,-,-,-,-,-
OH,D,"Brown, Sherrod",B000944,400050,92,94,-,+,+,+,+,+,+,+,+,+,+,+,+
NH,D,"Hassan, Margaret",H001076,412680,92,98,-,+,+,+,+,+,+,+,+,+,+,+,+
NH,D,"Shaheen, Jeanne",S001181,412323,92,96,-,+,+,+,+,+,+,+,+,+,+,+,+
MN,D,"Klobuchar, Amy",K000367,412242,62,92,-,?,?,?,?,+,+,+,+,+,+,+,+
MN,D,"Smith, Tina",S001203,412742,92,98,-,+,+,+,+,+,+,+,+,+,+,+,+
WI,R,"Johnson, Ron",J000293,412496,0,3,-,-,?,-,-,-,-,-,-,-,-,-,-
WI,D,"Baldwin, Tammy",B001230,400013,92,97,-,+,+,+,+,+,+,+,+,+,+,+,+
AZ,R,"McSally, Martha",M001197,412611,15,8,-,-,-,-,-,+,+,-,-,-,-,-,-
AZ,D,"Sinema, Kyrsten",S001191,412509,62,76,-,+,-,-,-,+,+,?,+,+,+,+,+
WY,R,"Barrasso, John",B001261,412251,0,7,-,-,-,-,-,-,-,-,-,-,-,-,-
WY,R,"Enzi, Michael",E000285,300041,0,5,-,-,-,-,-,-,-,-,-,-,-,-,-
GA,R,"Perdue, David",P000612,412666,8,4,-,-,-,-,?,-,+,-,-,-,-,-,-
GA,R,"Loeffler, Kelly",L000594,456790,8,8,-,-,-,-,-,-,+,-,-,-,-,-,-
MD,D,"Van Hollen, Chris",V000128,400415,92,98,-,+,+,+,+,+,+,+,+,+,+,+,+
MD,D,"Cardin, Benjamin",C000141,400064,92,92,-,+,+,+,+,+,+,+,+,+,+,+,+
TX,R,"Cruz, Ted",C001098,412573,0,3,-,-,-,-,?,?,-,-,-,-,-,-,-
TX,R,"Cornyn, John",C001056,300027,8,5,-,-,-,-,-,+,-,-,-,-,-,-,-
MT,R,"Daines, Steve",D000618,412549,15,7,-,-,-,-,-,+,+,-,-,-,-,-,-
